subjectname	phase	acc	RT 
	training	0.67	5.40	
	training	0.67	6.61	
	training	1.00	2.30	
	training	1.00	2.87	
	test	0.82	2.26	
	test	0.79	1.83	
	training	0.67	1.99	
	training	0.67	0.86	
	test	0.70	1.39	
	test	0.83	0.90	
	training	0.67	1.36	
	training	0.67	2.72	
	test	0.72	1.19	
	test	0.67	1.69	
	training	0.67	1.46	
	test	0.81	1.52	
	training	1.00	0.98	
	training	0.67	1.65	
	test	0.79	2.05	
	test	0.76	1.16	
	training	1.00	0.72	
	training	0.67	0.70	
	test	0.76	1.58	
	test	0.81	1.55	
	test	0.81	1.18	
	test	0.76	2.10	
